Date,MKPRU,MKPRUPNZ
13/4/2020,0.003449126,P
12/4/2020,0.002671229,P
11/4/2020,-0.057645718,N
10/4/2020,-0.009686315,N
9/4/2020,0.022132939,P
8/4/2020,-0.018745234,N
7/4/2020,0.083476947,P
6/4/2020,-0.013715694,N
5/4/2020,0.019286023,P
4/4/2020,-0.009904378,N
3/4/2020,0.023484601,P
2/4/2020,0.034937806,P
1/4/2020,0.003589221,P
31/3/2020,0.088333693,P
30/3/2020,-0.059981313,N
29/3/2020,-0.016978878,N
28/3/2020,-0.058349288,N
27/3/2020,0.009747016,P
26/3/2020,-0.010346473,N
25/3/2020,0.040960235,P
24/3/2020,0.116706912,P
23/3/2020,-0.05932777,N
22/3/2020,-0.005876552,N
21/3/2020,0.005042614,P
20/3/2020,0.14508995,P
19/3/2020,0.009821544,P
18/3/2020,0.065904682,P
17/3/2020,-0.060221298,N
16/3/2020,0.035263421,P
15/3/2020,-0.078938783,N
14/3/2020,0.161239366,P
13/3/2020,-0.391404434,N
12/3/2020,0.006491695,P
11/3/2020,-0.005859853,N
10/3/2020,-0.013364215,N
9/3/2020,-0.096559808,N
8/3/2020,-0.02809776,N
7/3/2020,0.009760251,P
6/3/2020,0.035220176,P
5/3/2020,0.000520884,P
4/3/2020,-0.017781129,N
3/3/2020,0,Z
2/3/2020,0.044368697,P
1/3/2020,-0.020451428,N
29/2/2020,-0.010490964,N
28/2/2020,0.002185414,P
27/2/2020,-0.056248959,N
26/2/2020,-0.03669383,N
25/2/2020,-0.032598587,N
24/2/2020,0.033068483,P
23/2/2020,-0.00277933,N
22/2/2020,0.00933916,P
21/2/2020,0.000222807,P
20/2/2020,-0.056571044,N
19/2/2020,0.049126488,P
18/2/2020,-0.023520604,N
17/2/2020,0.003382414,P
16/2/2020,-0.044785519,N
15/2/2020,0.012311532,P
14/2/2020,-0.010804207,N
13/2/2020,0.007680495,P
12/2/2020,0.042678738,P
11/2/2020,-0.030270379,N
10/2/2020,0.025768336,P
9/2/2020,0.010153413,P
8/2/2020,0.005317939,P
7/2/2020,0.014639778,P
6/2/2020,0.049416403,P
5/2/2020,0,Z
4/2/2020,-0.016363629,N
3/2/2020,-0.006774301,N
2/2/2020,0.004748349,P
1/2/2020,-0.017742942,N
31/1/2020,0.02398325,P
30/1/2020,-0.011281003,N
29/1/2020,0.05507218,P
28/1/2020,0.035787723,P
27/1/2020,0.031349671,P
26/1/2020,-0.011961078,N
25/1/2020,0.004775808,P
24/1/2020,-0.0312775,N
23/1/2020,-0.007259586,N
22/1/2020,0.011104194,P
21/1/2020,-0.008834519,N
20/1/2020,-0.023285096,N
19/1/2020,0.001180854,P
18/1/2020,0.020443635,P
17/1/2020,-0.010422186,N
16/1/2020,-0.003226492,N
15/1/2020,0.090951039,P
14/1/2020,-0.008408399,N
13/1/2020,0.019008937,P
12/1/2020,-0.019936076,N
11/1/2020,0.046910176,P
10/1/2020,-0.027942283,N
9/1/2020,-0.015041388,N
8/1/2020,0.052354354,P
7/1/2020,0.055453461,P
6/1/2020,0.000500824,P
5/1/2020,0.002940072,P
4/1/2020,0.055011787,P
3/1/2020,-0.032240847,N
2/1/2020,0.001028136,P
1/1/2020,-0.007104272,N
