Date,MKPRU,MKPRUPNZN,MKPRUPNZ,MKTCP,TRFEE,TRFUS,NTRAN,NTREP,NTRBL,TOUTV,CPTRA,HRATE,MIREV,AVBLS,TRVOU,LTCPCUSD
5/12/2021,-0.083032232,0,N,-0.079654131,0.314052318,0.138128681,-0.125681139,-0.12605132,-0.05235117,0.248423341,-0.074037357,-0.077380952,-0.196887809,0.006003271,0.170169606,-0.1335
4/12/2021,-0.049455232,0,N,-0.058024859,-0.296442843,-0.302923457,-0.073810656,-0.073621066,-0.14548007,-0.082979788,0.150170905,0.083870968,0.073863921,-0.276944421,-0.099618025,-0.0762
3/12/2021,-0.012603233,0,N,-0.003745568,-0.081823584,-0.092741546,0.086120338,0.085827795,-0.040009766,0.012714828,0.024976109,0.131386861,0.113247397,0.067242398,-0.081984231,-0.0254
2/12/2021,0.003576803,1,P,-0.003711568,0.626760393,0.626089866,-0.018558848,-0.018480423,-0.04005026,-0.115098566,0.050891492,0.02238806,0.031388157,0.130402099,0.420523456,0.0034
1/12/2021,-0.013880019,0,N,-0.012865408,0.135266619,0.132592526,-0.024630182,-0.024740731,0.040879731,0.025909356,-0.040377812,-0.062937063,-0.064013481,0.022176834,0.455376736,0.0127
30/11/2021,0.009358503,1,P,0.072652633,0.512610077,0.596288658,0.409457917,0.410291061,0.370032521,0.292031329,-0.226021543,0.022866458,0.090890063,0.257537038,-0.087854725,0.0296
29/11/2021,0.045457623,1,P,-0.014709048,-0.12836196,-0.128631392,-0.112107959,-0.112315792,-0.086557108,0.108081123,0.092799691,-0.036949952,-0.029711852,0.048938174,-0.643624898,0.0225
28/11/2021,0.022634456,1,P,0.013766892,-0.420558894,-0.430270985,-0.177300142,-0.177446432,-0.240584746,-0.422354151,0.284959633,0.083333333,0.057136108,-0.312780108,1.689402772,0.0005
27/11/2021,-0.090730452,0,N,-0.077271686,-0.019163756,-0.066520284,0.017909814,0.018657862,0.002486938,-0.045788911,-0.049054179,0.015384615,-0.032022916,0.078975273,-0.130304828,-0.1239
26/11/2021,0.030564525,1,P,0.031388004,0.059887393,0.08635141,-0.038182189,-0.037879983,0.161579971,0.075567095,-0.121846057,-0.171974522,-0.157683814,-0.000876832,-0.30776801,0.0495
25/11/2021,-0.006785205,0,N,-0.003869766,0.140793866,0.135378565,0.054721049,0.055106198,-0.113228163,0.11701271,0.126230466,0.189393939,0.182406283,0.052228668,-0.029434484,-0.0194
24/11/2021,0.02267612,1,P,0.018871823,-0.001602098,-0.005780377,0.015173822,0.015083021,0.084390219,0.010938804,-0.079300127,-0.063829787,-0.058446563,-0.00960532,1.839067115,0.0349
23/11/2021,-0.041772486,0,N,-0.054004207,0.333418034,0.286401,0.252147352,0.25287693,0.172223053,0.208875593,-0.179115618,0.068181818,0.024293842,0.063350302,-0.252956448,-0.0577
22/11/2021,-0.017097935,0,N,-0.004204758,-0.28805443,-0.276598384,-0.10696089,-0.107855078,-0.019010068,0.022519106,0.036692364,-0.089655172,-0.070962489,0.071164067,-0.513880943,-0.0216
21/11/2021,0.028296483,1,P,0.028117767,-0.017879512,0.00349236,-0.12316354,-0.124071322,-0.171540724,-0.238528817,0.238486493,0.058394161,0.085950112,-0.17754552,-0.407986468,0.0408
20/11/2021,0.02128692,1,P,0.011864254,0.122143608,0.09180419,-0.031129729,-0.030461306,0.018374592,-0.163073256,-0.04766906,-0.048611111,-0.077314864,0.006282866,0.473958094,0.0645
19/11/2021,-0.057302627,0,N,-0.046577183,-0.126280236,-0.140320793,0.011973553,0.013581127,0.047111523,-0.109743542,-0.059071729,-0.033557047,-0.047805474,-0.075982921,-0.338658765,-0.1092
18/11/2021,0.003474857,1,P,0.00018077,0.037366801,0.009203471,-0.035579187,-0.033017479,-0.029106564,-0.489708002,0.012595692,-0.006666667,-0.035580451,0.089438735,1.387272502,-0.0017
17/11/2021,-0.05366093,0,N,-0.059462731,0.025246763,-0.036398497,0.043919774,0.04350012,0.050879239,1.775606181,-0.113779322,-0.006622517,-0.071829993,-0.067294062,0.625281412,-0.1237
16/11/2021,-0.028784726,0,N,-0.002306152,0.45997296,0.464133597,0.287564281,0.287891937,0.338725776,0.439059007,-0.245984229,-0.027963928,-0.034777586,0.533104023,0.273833424,-0.0598
15/11/2021,0.016265053,1,P,-0.004625714,-0.189086421,-0.177326987,-0.061256988,-0.061305205,-0.085174007,-0.08588514,0.101622515,0.062891174,0.043551815,-0.09079086,-0.656992787,0.0842
